History Length,Forecast Length,Units,Epochs,Loss
300,10,[160],9,0.006447255929122224
300,10,[60],9,0.005951813924437445
300,10,[40],9,0.00725960361822334
350,10,[140],1,0.05465301688457156
350,10,[100],3,0.04044777592793898
350,10,[200],1,0.046879900023311945
350,10,[60],9,0.006805392089598018
350,10,[120],1,0.03341082787016888
350,10,[180],4,0.012869057083688068
350,10,[100],6,0.00800516977554858
350,10,[120],2,0.0222444307989849
350,10,[160],10,0.006119405069512258
350,10,[60],6,0.03372281433878123
350,10,[120],6,0.007267069218294876
350,10,[120],7,0.00865191856085885
350,10,[60],7,0.007389391625674652
350,10,[180],1,0.04458632432466162
350,10,[40],1,0.021801757180030287
350,10,[80],1,0.03902019493948464
350,10,[20],1,0.022370998836493773
350,10,[60],1,0.02155940862446224
350,10,[100],1,0.04353530105099406
350,10,[160],1,0.046740912295217596
350,10,[180],2,0.010203505116243666
350,10,[80],2,0.010066729656238343
350,10,[200],2,0.017277116993513905
350,10,[200],3,0.026074930875406795
350,10,[20],3,0.0122382622778613
350,10,[40],3,0.012950495704941552
350,10,[140],3,0.018795996362127407
350,10,[60],3,0.018283208044520775
350,10,[160],2,0.01091608407916726
350,10,[40],2,0.006819290993432228
350,10,[60],2,0.010826840573197785
350,10,[140],2,0.00921481847815324
350,10,[80],3,0.014418785427546705
350,10,[20],2,0.0067847283869748335
350,10,[200],4,0.012296233333040116
350,10,[100],2,0.012445413850240944
350,10,[100],5,0.010837877489443464
350,10,[160],5,0.00855786011243707
350,10,[140],5,0.02446873895866464
350,10,[60],5,0.007406798116153593
350,10,[180],7,0.0072077648909906885
350,10,[180],8,0.006730606881355812
350,10,[200],6,0.008470112879507274
350,10,[200],7,0.0074308322771201255
350,10,[100],9,0.005676452785312713
350,10,[100],10,0.0062993065276949955
350,10,[120],3,0.019884695290424224
350,10,[40],7,0.01791852032132574
350,10,[20],10,0.006270920310814612
350,10,[80],8,0.006321678487592619
350,10,[80],4,0.01685318310069331
